Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.551	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs731174	1	GSM816644
-0.996	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1866967	2	Lookup
-0.624	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1866967	3	Lookup
-1.393	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.568	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7717572	5	Lookup
0.177	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8057939,rs9649213	6	GSM816664
-1.194	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-1.162	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-1.254	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-1.333	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.474	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6089829,rs2400997	11	GSM816665,GSM736496,GSM736620
0.713	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735172,rs6089829,rs11605083	12	GSM816656
1.359	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735172,rs6089829,rs731174,rs9649213	13	GSM816657
-0.415	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6089829	14	GSM816653
-0.763	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735172	15	GSM816658
-0.797	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6005451	16	GSM816659
0.514	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6089829,rs4821941,rs2400997	17	GSM816648
-1.344	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.514	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs6089829	19	GSM736501,GSM736492
-0.720	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs16944141,rs2400997	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.524	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12682851	21	GSM736604,GSM736529
-0.161	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2400997,rs12628051	22	GSM736592,GSM1024760
-0.096	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs12628051	23	GSM736502,GSM1024792
0.014	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1002979,rs12628051	24	GSM736583,GSM736505
0.117	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7847271,rs12628051	25	GSM816638
-0.311	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1002979,rs12628051	26	GSM736509,GSM736554
-0.526	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10940579	27	GSM1024745,GSM1024747
0.098	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs12628051	28	GSM736609,GSM736523
-0.967	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10940579	29	GSM736571,GSM736521
-0.308	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs6089829	30	GSM736599,GSM736591
0.865	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs735172,rs10940579,rs12628051	31	GSM736577,GSM736573
-0.456	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs10940579	32	GSM736611,GSM736624
-0.014	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs12628051	33	GSM736542,GSM736511
0.332	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs12628051	34	GSM736507,GSM736627
0.821	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs735172,rs10940579,rs543686	35	GSM1024763
0.852	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs1002979,rs12628051	36	GSM736555,GSM736614
-0.643	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs2400997	37	GSM816646,GSM736575,GSM736533
0.761	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8057939,rs543686,rs731174,rs1916284,rs12628051	38	Lookup
-0.585	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs11605083	39	Lookup
-1.587	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
0.621	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735172,rs6089829,rs731174,rs9649213	41	GSM816636
0.712	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs2219968,rs6089829,rs11605083	42	GSM736522,GSM736570
0.323	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs11605083	43	GSM1008585
-0.527	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs12628051	44	GSM736594,GSM736535
1.378	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10940579,rs5751168,rs2400997,rs1002979,rs12628051	45	GSM816669,GSM736634,GSM736552
-0.431	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs12628051	46	GSM736628,GSM736541
-1.167	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2400997	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.116	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735172,rs1866967,rs6089829,rs6766510	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.921	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7789197	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
