Zscore	Cell	Tissue	File	SNPs	Number	Accession
5.050	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs13358260,rs1108842,rs12051272,rs2980879,rs4783244,rs4301033	1	GSM816644
1.708	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1648707,rs4777845,rs507506,rs13358260,rs1108842,rs6810075,rs4783244	2	Lookup
0.905	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs1108842	3	Lookup
2.181	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11023332,rs731839,rs2925979,rs507506,rs1108842,rs17366568	4	Lookup
1.417	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs1108842,rs6488898	5	Lookup
2.533	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs998584,rs822354,rs4777845,rs2925979,rs507506,rs1108842,rs6773957	6	GSM816664
1.098	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs731839,rs507506,rs1108842,rs6488898	7	GSM736607
1.126	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2925979,rs507506,rs1108842	8	GSM736558,GSM736635
-0.014	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs507506,rs1108842	9	GSM736525
0.444	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4777845,rs507506,rs1108842	10	GSM736512,GSM736561
-0.554	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2925979,rs507506,rs1108842	11	GSM816665,GSM736496,GSM736620
0.051	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4777845,rs507506,rs1108842,rs4783244	12	GSM816656
0.596	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs266717,rs4777845,rs507506,rs1108842,rs182052	13	GSM816657
0.392	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs266717,rs507506,rs1108842	14	GSM816653
0.873	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4777845,rs2925979,rs507506,rs1108842,rs4783244	15	GSM816658
1.825	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2925979,rs507506,rs1108842,rs2980879,rs4783244,rs4301033	16	GSM816659
1.372	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs998584,rs731839,rs507506,rs1108842,rs2980879,rs6810075	17	GSM816648
0.876	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs998584,rs507506,rs1108842,rs2980879	18	GSM736626,GSM736595
0.801	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4777845,rs2925979,rs507506,rs1108842	19	GSM736501,GSM736492
1.760	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs668459,rs2925979,rs507506,rs1108842,rs592423,rs2980879,rs6773957,rs6488898	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.274	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs1108842,rs2657888,rs592423	21	GSM736604,GSM736529
0.735	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11023332,rs2925979,rs507506,rs4805885,rs1108842	22	GSM736592,GSM1024760
1.799	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs507506,rs1108842,rs6773957,rs6488898	23	GSM736502,GSM1024792
2.584	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs998584,rs3001032,rs2925979,rs507506,rs1108842,rs12051272	24	GSM736583,GSM736505
1.719	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs1108842,rs12051272	25	GSM816638
2.064	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs998584,rs2925979,rs507506,rs1108842,rs12051272,rs592423	26	GSM736509,GSM736554
1.075	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs731839,rs507506,rs1108842,rs12051272	27	GSM1024745,GSM1024747
1.217	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs2925979,rs507506,rs1108842,rs12051272	28	GSM736609,GSM736523
1.353	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2925979,rs507506,rs1108842,rs12051272,rs4783244	29	GSM736571,GSM736521
0.876	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs507506,rs1108842,rs12051272	30	GSM736599,GSM736591
