Zscore	Cell	Tissue	File	SNPs	Number	Accession
-1.265	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-0.921	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	2	Lookup
-0.345	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2569872	3	Lookup
-0.372	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2569872	4	Lookup
0.634	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs112288323,rs2569872	5	Lookup
-1.308	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-1.207	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.141	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2569872	8	GSM736558,GSM736635
-0.220	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2569872	9	GSM736525
0.631	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs112288323,rs2569872	10	GSM736512,GSM736561
-1.588	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
-0.106	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs10798959	12	GSM816656
-0.928	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	13	GSM816657
-0.423	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	14	GSM816653
-0.813	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	15	GSM816658
-0.506	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	16	GSM816659
-1.550	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
-0.491	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2569872	18	GSM736626,GSM736595
-1.100	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-1.739	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig		20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.253	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs13012266	21	GSM736604,GSM736529
-0.707	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2569872	22	GSM736592,GSM1024760
0.036	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2569872	23	GSM736502,GSM1024792
-1.233	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.072	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.399	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-0.380	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2569872	27	GSM1024745,GSM1024747
-1.345	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-0.555	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2569872	29	GSM736571,GSM736521
-0.099	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2569872	30	GSM736599,GSM736591
-0.362	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs2569872	31	GSM736577,GSM736573
-0.366	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2569872	32	GSM736611,GSM736624
-0.388	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs2569872	33	GSM736542,GSM736511
-0.228	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs2569872	34	GSM736507,GSM736627
-0.368	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2569872	35	GSM1024763
-1.458	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
-0.852	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs2569872	37	GSM816646,GSM736575,GSM736533
-0.489	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs10798959	38	Lookup
-1.252	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-0.830	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9296949	40	GSM816668
-1.087	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3795958	41	GSM816636
-1.224	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
0.216	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs2569872	43	GSM1008585
-1.529	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig		44	GSM736594,GSM736535
-1.591	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig		45	GSM816669,GSM736634,GSM736552
-0.139	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs2569872	46	GSM736628,GSM736541
-0.823	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs7483296	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.621	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3795958	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.301	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7483296,rs9296949	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-1.262	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig		50	GSM736586,GSM736538
-1.699	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig		51	GSM816633,GSM816643,GSM736564,GSM736510
-1.279	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
0.887	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	53	GSM736500,GSM736587
-0.105	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs2569872	54	GSM736600,GSM736493
-1.292	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig		55	GSM736534,GSM736491
-1.279	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig		56	GSM736613,GSM736526,GSM736613,GSM736526
-0.615	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs10798959	57	GSM736613,GSM736526,GSM736613,GSM736526
-0.851	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs111426949	58	GSM816649,GSM736580,GSM736506
-1.420	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig		59	GSM736631,GSM736606
-0.388	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs2569872	60	GSM736569,GSM736597
0.572	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs112288323,rs2569872	61	GSM736585,GSM736532
-0.356	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs2569872	62	GSM736589,GSM736615
-0.327	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs2569872	63	GSM736621,GSM736550
-1.287	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig		64	GSM736632,GSM736528
1.806	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs13012266,rs112288323,rs111426949	65	GSM736549,GSM736557
1.483	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs13012266,rs112288323,rs742004	66	GSM736527,GSM736548
-1.282	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig		67	GSM736630,GSM736623
-0.217	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	68	GSM816647
0.535	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig	rs13012266,rs112288323	69	GSM736543,GSM736539
-0.243	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs112288323	70	GSM736608,GSM736617
-0.294	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	71	Lookup
0.339	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	72	Lookup
0.472	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	73	GSM816629
-1.163	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig		74	GSM736547,GSM736515
1.424	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig	rs62458065,rs7483296,rs111426949	75	GSM736495,GSM736636
-0.967	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872	76	GSM816628
-1.357	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig		77	GSM736602,GSM736572
-0.612	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs2569872	78	GSM736524,GSM736605
-1.047	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig		79	GSM736531,GSM736619
-0.098	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig	rs2569872	80	GSM736579,GSM736576
-1.435	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig		81	GSM736494,GSM736601
-1.386	HCF	Heart	HCF-DS12501.twopass.merge150.wgt10.zgt2.wig		82	GSM736568,GSM736540
-0.473	HCM	Heart	HCM-DS12599.twopass.merge150.wgt10.zgt2.wig	rs2569872	83	GSM736516,GSM736504
-0.164	iPS	IPS	wgEncodeOpenChromDnaseIpsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2569872,rs7483296	84	GSM816642
-1.128	HRGEC	Kidney	HRGEC-DS13716.twopass.merge150.wgt10.zgt2.wig		85	GSM736499,GSM736618
-1.821	8988T	Liver	wgEncodeOpenChromDnase8988tAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		86	GSM816667
-1.591	Hepatocytes	Liver	wgEncodeOpenChromDnaseHepatocytesAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		87	GSM816663
