Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.032	0.209850157304628	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1864163,rs2230199	1	GSM816644
0.955	0.587757945718672	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10033900,rs1864163,rs2230199,rs522162,rs9332739	2	Lookup
-1.600	4.34294517858653e-11	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.229	0.161385235316778	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2230199,rs8135665	4	Lookup
-1.007	0.0362924817426865	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs8135665	5	Lookup
-0.180	0.17418725165723	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1864163,rs9332739	6	GSM816664
0.087	0.241849389552715	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2230199,rs4420638	7	GSM736607
-0.524	0.0895615306591314	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2230199	8	GSM736558,GSM736635
-1.388	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.692	0.0661617810458581	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4420638	10	GSM736512,GSM736561
-0.052	0.214943280825364	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs8017304,rs9332739	11	GSM816665,GSM736496,GSM736620
-0.730	0.0797080795473059	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199,rs8135665	12	GSM816656
-0.296	0.160846180179126	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs1864163,rs2230199	13	GSM816657
-0.832	0.0521629281607551	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199	14	GSM816653
-1.333	0.017864551037674	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199	15	GSM816658
0.284	0.309780026898563	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199,rs8135665,rs9332739	16	GSM816659
-0.743	0.0748066270008667	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8017304,rs9332739	17	GSM816648
-1.624	0	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.684	0.0670941374384937	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4420638	19	GSM736501,GSM736492
0.419	0.36588387772405	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs2230199,rs920915,rs9332739	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.728	0.0622071110851988	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs920915	21	GSM736604,GSM736529
-0.572	0.0975064398051782	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs9332739	22	GSM736592,GSM1024760
-1.366	4.34294517858653e-11	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-0.561	0.0858265326640986	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs920915	24	GSM736583,GSM736505
-0.578	0.0795934128107551	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs920915	25	GSM816638
-0.822	0.0499241991906383	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs920915	26	GSM736509,GSM736554
0.060	0.234755967604419	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs1864163	27	GSM1024745,GSM1024747
-0.623	0.0736627255745572	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1864163	28	GSM736609,GSM736523
-1.630	0	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-0.403	0.110122355033326	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs13081855	30	GSM736599,GSM736591
-1.482	0	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig		31	GSM736577,GSM736573
-1.417	4.82163733276643e-17	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
-1.494	0	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
-1.456	0	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-0.798	0.0550765678837055	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs8135665	35	GSM1024763
-0.668	0.0673283415233404	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs920915	36	GSM736555,GSM736614
-0.732	0.0765026960829087	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs9332739	37	GSM816646,GSM736575,GSM736533
-0.623	0.102987353762888	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199,rs8135665,rs920915	38	Lookup
-1.513	0	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
0.142	0.267874984471603	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4711751,rs920915,rs9332739	40	GSM816668
-1.622	0.00880422786335175	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2230199	41	GSM816636
-1.191	0	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
-1.177	0	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
-0.259	0.155129146912353	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10490924,rs920915	44	GSM736594,GSM736535
0.523	0.397984799663064	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs4711751,rs920915,rs9332739	45	GSM816669,GSM736634,GSM736552
-0.479	0.0966386097630472	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs920915	46	GSM736628,GSM736541
1.205	0.718602113243603	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs1061147,rs12153855,rs4711751,rs920915,rs9332739	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.291	0.314767963094532	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs522162,rs8135665,rs9332739	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.343	0.138798167144275	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs8135665	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.059	0.234104600005754	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs920915,rs9332739	50	GSM736586,GSM736538
-0.196	0.179606231444501	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs12153855,rs920915,rs9332739	51	GSM816633,GSM816643,GSM736564,GSM736510
0.834	0.527161428097027	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10737680,rs2230199,rs920915	52	GSM816633,GSM816643,GSM736564,GSM736510
-0.854	0.0577544981851729	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs8135665	53	GSM736500,GSM736587
