Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.996	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11628318,rs7149242,rs10761731,rs941207,rs3731211,rs8006385,rs397969,rs7342306,rs342275	1	GSM816644
-0.029	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17356664,rs3803064,rs941207,rs3811444,rs11082304,rs8006385,rs1034566,rs1727307,rs6141,rs210134	2	Lookup
4.644	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7616006,rs625132,rs11628318,rs2336384,rs11789898,rs10761731,rs941207,rs3731211,rs4968031,rs397969,rs7342306,rs3819299,rs342275,rs7961894,rs1719271,rs4660456	3	Lookup
5.432	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs625132,rs11628318,rs11789898,rs4302748,rs1279750,rs10761731,rs2297067,rs941207,rs13300663,rs8006385,rs397969,rs3792366,rs3819299,rs7961894,rs6141,rs1719271	4	Lookup
6.631	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs6677208,rs11628318,rs7149242,rs11789898,rs4302748,rs1279750,rs10761731,rs17030845,rs941207,rs11082304,rs8006385,rs1668871,rs7342306,rs1354034,rs3819299,rs342275,rs4938642,rs6993770,rs7961894,rs210134,rs1719271	5	Lookup
0.374	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs11628318,rs2297067,rs8006385,rs8109288,rs7961894,rs1727307	6	GSM816664
3.141	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11628318,rs513349,rs7149242,rs2336384,rs2070729,rs4148441,rs1279750,rs10761731,rs941207,rs3184504,rs4938642	7	GSM736607
3.049	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11628318,rs1279750,rs10761731,rs2297067,rs941207,rs8006385,rs342275,rs7961894,rs399604,rs1719271	8	GSM736558,GSM736635
3.451	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11628318,rs513349,rs4148441,rs1279750,rs10761731,rs2297067,rs941207,rs13300663,rs3184504,rs7961894,rs1727307,rs1719271	9	GSM736525
4.173	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11628318,rs513349,rs1279750,rs10761731,rs2297067,rs941207,rs13300663,rs8006385,rs700585,rs3819299,rs7961894,rs1719271,rs4660456	10	GSM736512,GSM736561
