Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.860	0.579189033804435	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs11066280,rs117616209,rs2280401,rs4345897,rs4686914,rs6511720	1	GSM701525
-1.288	0.0233464119903555	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs2280401	2	GSM701526
1.110	0.709878049218834	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs1260326,rs2280401,rs4686914,rs478093,rs6511720,rs807669	3	GSM665837
0.269	0.343591445776369	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs102275,rs117616209,rs12051548,rs2280401,rs2638315,rs4686914,rs6511720,rs712964	4	GSM701516
-0.527	0.126481323683088	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs174541,rs2280401,rs4686914,rs6511720,rs8396	5	GSM701489
1.380	0.86313979284712	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs2280401,rs2286963,rs2545801,rs4686914,rs478093,rs4810479,rs6511720,rs964184	6	GSM701491
-0.333	0.161630836925846	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs1148259,rs117616209,rs2280401,rs2738446,rs6511720	7	GSM665812
0.393	0.376476003595466	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs2280401,rs2286963,rs261342,rs4686914,rs6511720	8	GSM665839
0.380	0.378597923644867	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs2014355,rs2160387,rs2280401,rs4686914,rs478093,rs6511720,rs712964	9	GSM817166
0.390	0.381750354959406	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs1260326,rs2280401,rs2738446,rs478093,rs6511720	10	GSM701539
-0.150	0.210496556754809	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs117616209,rs2057681,rs2280401,rs2286963,rs478093,rs6511720	11	GSM817160
0.614	0.47261969569977	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs11066280,rs117616209,rs2280401,rs2286963,rs261342,rs4686914,rs6511720,rs712964,rs964184	12	GSM665813
