Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.885	1.30288258937878e-10	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
0.951	0.524322358891852	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3805663,rs4624820	2	Lookup
-0.946	4.82163733276643e-17	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
0.139	0.227530937585233	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3805663	4	Lookup
0.064	0.208182757436026	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3805663	5	Lookup
0.287	0.268387650201477	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	6	GSM816664
0.356	0.287879087785755	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs210138	7	GSM736607
-0.730	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.865	4.34294517858653e-11	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.923	4.34294517858653e-11	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
1.586	0.886916555647424	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12699477,rs2072499,rs210138	11	GSM816665,GSM736496,GSM736620
3.823	2.15032905082783	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12699477,rs2072499,rs3805663,rs4888262	12	GSM816656
2.405	1.23915259395436	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12699477,rs2072499,rs4624820	13	GSM816657
0.401	0.30374495718816	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3805663	14	GSM816653
