Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.031	0.226300277077192	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210	1	GSM816644
0.362	0.3462945759275	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10768122,rs10876864,rs11203203,rs9926296	2	Lookup
0.719	0.473461152121678	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11966200,rs4409785	3	Lookup
0.522	0.393540368531736	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11966200,rs4908760	4	Lookup
-0.242	0.159976655185809	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs706779	5	Lookup
0.557	0.402979267243994	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs4908760,rs853308	6	GSM816664
0.985	0.590060308901506	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210,rs229527	7	GSM736607
1.337	0.750797314366013	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4822024	8	GSM736558,GSM736635
0.191	0.273329220329489	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210	9	GSM736525
0.862	0.532180914214516	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1129038,rs4409785	10	GSM736512,GSM736561
0.588	0.432744276648384	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4766578,rs853308	11	GSM816665,GSM736496,GSM736620
1.174	0.679128523014428	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1129038,rs2236313,rs229527,rs2456973	12	GSM816656
1.000	0.597442783187104	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs1129038,rs16872571,rs4908760	13	GSM816657
1.543	0.853910179574529	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs1464510,rs4908760	14	GSM816653
0.627	0.446750260149704	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs1129038,rs853308	15	GSM816658
-0.444	0.121743314468243	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs4908760	16	GSM816659
-1.410	0.0140192473652076	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864	17	GSM816648
0.606	0.434392288739036	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs2236313,rs229527	18	GSM736626,GSM736595
-0.724	0.0617037595646812	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1417210	19	GSM736501,GSM736492
1.006	0.640811759409218	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs2456973,rs4766578,rs853308	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.667	0.0653326209119821	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10876864	21	GSM736604,GSM736529
2.056	1.21532315391692	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4409785,rs4766578,rs8192917,rs853308	22	GSM736592,GSM1024760
2.078	1.16479046514555	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4409785,rs8192917	23	GSM736502,GSM1024792
-0.526	0.087556582158979	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs10876864	24	GSM736583,GSM736505
-0.531	0.087556582158979	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864	25	GSM816638
-0.706	0.0586913088600777	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10876864	26	GSM736509,GSM736554
0.068	0.236861257503549	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11966200	27	GSM1024745,GSM1024747
-0.554	0.0809809346097599	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10876864	28	GSM736609,GSM736523
-0.780	0.0515354870147047	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10876864	29	GSM736571,GSM736521
-0.303	0.126101383507717	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10876864	30	GSM736599,GSM736591
-0.633	0.0708233908761251	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10876864	31	GSM736577,GSM736573
-0.592	0.0790934226214293	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs10876864	32	GSM736611,GSM736624
0.030	0.226300277077192	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs853308	33	GSM736542,GSM736511
1.010	0.598481750173569	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs229527,rs4822024	34	GSM736507,GSM736627
-0.049	0.205100675452593	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11966200	35	GSM1024763
-0.593	0.075723020771768	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs10876864	36	GSM736555,GSM736614
1.208	0.73481527316805	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4766578,rs4822024,rs853308	37	GSM816646,GSM736575,GSM736533
-0.081	0.213426879349223	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs1129038,rs1417210	38	Lookup
-0.665	0.0681396569337304	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs10876864	39	Lookup
-1.284	0.0196627725825282	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864	40	GSM816668
1.402	0.813837427294854	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1129038,rs229527,rs4908760,rs59374417,rs853308	41	GSM816636
-0.263	0.134935703379083	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs10876864	42	GSM736522,GSM736570
-0.035	0.18613474773627	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs10876864	43	GSM1008585
-0.893	0.042629325713437	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10876864	44	GSM736594,GSM736535
0.537	0.413199702832836	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4766578,rs853308	45	GSM816669,GSM736634,GSM736552
-0.406	0.108582875237436	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs10876864	46	GSM736628,GSM736541
0.608	0.44299216197811	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4766578,rs853308	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.978	0.59310211218372	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210,rs638893,rs9926296	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.298	0.148189397265678	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10768122,rs10876864	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-0.709	0.0612739975155376	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs10876864	50	GSM736586,GSM736538
0.488	0.395535519021123	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs11203203,rs4766578,rs853308	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.744	0.0576095285616479	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864	52	GSM816633,GSM816643,GSM736564,GSM736510
0.187	0.264736781562337	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1129038	53	GSM736500,GSM736587
0.566	0.39606474985315	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs9926296	54	GSM736600,GSM736493
-0.488	0.0936949737224978	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs10876864	55	GSM736534,GSM736491
0.433	0.357208382159164	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs4822024	56	GSM736613,GSM736526,GSM736613,GSM736526
