Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.383	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-0.590	0.0977790967175709	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10830963,rs11603334	2	Lookup
0.116	0.24872952162194	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs3736594	3	Lookup
1.644	0.929172971913557	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs2293941,rs340874,rs6048205	4	Lookup
1.571	0.842766044606077	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs2293941,rs340874,rs4607517	5	Lookup
0.096	0.241353065976126	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs4841132	6	GSM816664
-0.524	0.0905893615854414	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11603334	7	GSM736607
-0.265	0.136178377232078	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11603334	8	GSM736558,GSM736635
-0.493	0.0955086537481986	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11603334	9	GSM736525
1.178	0.663990547663339	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11558471,rs11603334,rs4607517	10	GSM736512,GSM736561
-1.154	0.0245748363390583	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11603334	11	GSM816665,GSM736496,GSM736620
0.332	0.31778952298919	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs1371614,rs340874	12	GSM816656
-0.637	0.0947832099520634	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs6048205	13	GSM816657
0.185	0.269004278918157	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs4841132	14	GSM816653
1.157	0.660879443984608	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11708067,rs3736594,rs4841132	15	GSM816658
-0.162	0.1782428407377	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs2293941	16	GSM816659
0.971	0.569779264698802	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs174550,rs340874,rs3736594	17	GSM816648
0.822	0.505725057942357	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs3736594,rs4607517	18	GSM736626,GSM736595
0.233	0.283676697218809	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs4607517	19	GSM736501,GSM736492
0.002	0.227230155423449	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11708067,rs11920090	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.262	0.29272242028963	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs3736594	21	GSM736604,GSM736529
-1.066	0.0307772956689561	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11603334	22	GSM736592,GSM1024760
0.546	0.381356333083123	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs340874	23	GSM736502,GSM1024792
1.377	0.762829472836772	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs4607517,rs7903146	24	GSM736583,GSM736505
-0.443	0.100715824623349	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334	25	GSM816638
-0.663	0.0688936769184839	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs11920090	26	GSM736509,GSM736554
1.141	0.643069381404678	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs340874,rs4841132	27	GSM1024745,GSM1024747
2.061	1.17134986231309	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs3736594,rs4607517	28	GSM736609,GSM736523
1.504	0.863775124211611	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs340874,rs3736594	29	GSM736571,GSM736521
1.569	0.85634443343845	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs340874	30	GSM736599,GSM736591
2.907	1.70697322170374	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs340874,rs3736594,rs4607517	31	GSM736577,GSM736573
2.125	1.18372620803991	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs340874,rs3736594	32	GSM736611,GSM736624
1.812	1.03350648194151	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs3736594,rs4607517	33	GSM736542,GSM736511
2.841	1.69645094200708	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs340874,rs3736594,rs4607517	34	GSM736507,GSM736627
-0.597	0.0793375373864398	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334	35	GSM1024763
0.324	0.311767513408578	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs3736594	36	GSM736555,GSM736614
0.171	0.27663516436679	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs3736594	37	GSM816646,GSM736575,GSM736533
1.003	0.594662306673005	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10830963,rs11603334,rs11708067,rs340874,rs6048205	38	Lookup
2.129	1.17134986231309	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11708067,rs340874,rs7173964	39	Lookup
0.444	0.363301727899349	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1371614,rs3736594,rs4607517	40	GSM816668
1.371	0.77660439940281	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11605924,rs11708067,rs340874,rs4841132	41	GSM816636
-0.192	0.148112785535034	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs11603334	42	GSM736522,GSM736570
0.049	0.205002980844978	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs11603334	43	GSM1008585
1.422	0.834403504430169	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11920090,rs1371614,rs3736594	44	GSM736594,GSM736535
-1.221	0.0219795418502108	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs11603334	45	GSM816669,GSM736634,GSM736552
0.576	0.395494460656785	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs4607517	46	GSM736628,GSM736541
-0.479	0.112269814366715	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11605924	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.093	0.193132697613834	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11708067,rs3736594	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
