Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.179	1.32532619810944	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13401811,rs1800682,rs4368253,rs674313,rs6858698	1	GSM816644
2.751	1.71443916939581	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13401811,rs1800682,rs2236256,rs3769825,rs674313,rs6858698,rs7176508	2	Lookup
5.048	3.84443169229493	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs13397985,rs1800682,rs210142,rs2511714,rs3769825,rs674313,rs6858698,rs7176508,rs735665	3	Lookup
6.970	6.2750690858076	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs11083846,rs13397985,rs13401811,rs1679013,rs1800682,rs210142,rs2236256,rs2511714,rs391525,rs674313,rs6858698	4	Lookup
5.221	4.08829334262701	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs391525,rs4987855,rs674313,rs6858698	5	Lookup
3.921	2.70040833477138	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698	6	GSM816664
0.966	0.573906632348488	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs210142,rs6858698	7	GSM736607
8.139	6.90587840415944	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1679013,rs1800682,rs210142,rs2511714,rs4406737,rs674313,rs6858698,rs872071	8	GSM736558,GSM736635
7.730	7.22184874961636	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1679013,rs1800682,rs210142,rs2236256,rs2511714,rs391525,rs674313,rs6858698,rs872071	9	GSM736525
6.985	6.15230397926583	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs391525,rs4406737,rs674313,rs6858698,rs872071	10	GSM736512,GSM736561
4.241	3.07070080278447	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs674313,rs6858698,rs872071	11	GSM816665,GSM736496,GSM736620
1.101	0.648344132216361	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13401811,rs210142,rs674313,rs6858698,rs7176508	12	GSM816656
3.396	2.17928711014683	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2511714,rs674313,rs6858698,rs7176508	13	GSM816657
4.325	3.03519711072661	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13397985,rs13401811,rs1800682,rs210142,rs2511714,rs391525,rs674313,rs6858698	14	GSM816653
5.092	3.9167307148768	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs391525,rs674313,rs6858698,rs7176508	15	GSM816658
3.557	2.37540600500487	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs6858698	16	GSM816659
4.809	3.76220098782523	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs11083846,rs13401811,rs1800682,rs2236256,rs2511714,rs3769825,rs674313,rs6858698,rs7176508,rs872071	17	GSM816648
2.907	1.77268091385909	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs13397985,rs1800682,rs210142,rs3769825,rs6858698	18	GSM736626,GSM736595
3.706	2.59140629664496	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs13401811,rs1800682,rs2236256,rs4368253,rs4987852,rs6858698	19	GSM736501,GSM736492
3.246	2.22747892305126	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.606	0.911028473719219	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs1800682,rs6858698	21	GSM736604,GSM736529
3.932	2.74052096872807	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698,rs7176508	22	GSM736592,GSM1024760
3.693	2.36930837372549	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs2511714,rs674313,rs6858698	23	GSM736502,GSM1024792
1.124	0.65689638246485	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	24	GSM736583,GSM736505
1.893	1.06817303417949	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs4987855,rs6858698	25	GSM816638
0.745	0.496271078962594	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	26	GSM736509,GSM736554
2.361	1.37531318592292	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs13401811,rs1800682,rs210142,rs6858698	27	GSM1024745,GSM1024747
1.663	0.978315459608357	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs4368253,rs6858698	28	GSM736609,GSM736523
1.266	0.748126611095532	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs4368253,rs6858698	29	GSM736571,GSM736521
2.364	1.32962840439913	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs13401811,rs1800682,rs6858698	30	GSM736599,GSM736591
0.880	0.545503780948906	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs6858698	31	GSM736577,GSM736573
1.800	1.01411785823927	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs13401811,rs1800682,rs4368253,rs6858698	32	GSM736611,GSM736624
0.751	0.495504484279486	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs6858698	33	GSM736542,GSM736511
3.922	2.68533563258409	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs13401811,rs1679013,rs1800682,rs2236256,rs4368253,rs6858698	34	GSM736507,GSM736627
-0.105	0.190639234702317	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	35	GSM1024763
0.959	0.578873001396828	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698	36	GSM736555,GSM736614
3.470	2.44446812633989	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs674313,rs6858698	37	GSM816646,GSM736575,GSM736533
-1.272	0.0279000413150644	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	38	Lookup
-0.711	0.0609189837013942	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs6858698	39	Lookup
-0.539	0.101463923427055	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	40	GSM816668
1.311	0.769713191151663	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs1439287,rs210142,rs4368253,rs6858698,rs7176508	41	GSM816636
2.414	1.41285543688719	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs2511714,rs4987852,rs6858698	42	GSM736522,GSM736570
-0.097	0.170254478715965	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs6858698	43	GSM1008585
1.182	0.725472882561123	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs674313,rs6858698	44	GSM736594,GSM736535
4.850	3.76575512175065	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1800682,rs210142,rs2236256,rs2511714,rs4368253,rs4406737,rs674313,rs6858698	45	GSM816669,GSM736634,GSM736552
1.284	0.72165059660967	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	46	GSM736628,GSM736541
2.949	1.97347056774407	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.607	0.930700211464468	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs2511714,rs3769825,rs674313,rs6858698	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.374	0.342743565012073	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698,rs735665	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.064	0.236287069017305	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	50	GSM736586,GSM736538
4.467	3.61596772041822	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs1679013,rs1800682,rs210142,rs2236256,rs2511714,rs4368253,rs674313,rs6858698	51	GSM816633,GSM816643,GSM736564,GSM736510
0.029	0.226194556439941	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253	52	GSM816633,GSM816643,GSM736564,GSM736510
0.953	0.523895731206202	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs391525,rs6858698	53	GSM736500,GSM736587
3.055	1.89795289237397	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs4368253,rs674313,rs6858698	54	GSM736600,GSM736493
0.279	0.302357797631817	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	55	GSM736534,GSM736491
1.254	0.726350799649136	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698	56	GSM736613,GSM736526,GSM736613,GSM736526
1.790	1.12447067066097	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs2511714,rs4368253,rs6858698	57	GSM736613,GSM736526,GSM736613,GSM736526
4.178	3.24503186085369	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs4368253,rs674313,rs6858698,rs735665	58	GSM816649,GSM736580,GSM736506
1.936	1.11871058971623	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4987852,rs4987855,rs6858698	59	GSM736631,GSM736606
0.952	0.585271011073512	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	60	GSM736569,GSM736597
3.174	2.0479504142616	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1679013,rs1800682,rs4368253,rs674313,rs6858698	61	GSM736585,GSM736532
3.950	2.79073702980505	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs2511714,rs4368253,rs4987852,rs4987855,rs6858698	62	GSM736589,GSM736615
2.506	1.57427586121421	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1679013,rs1800682,rs4368253,rs6858698	63	GSM736621,GSM736550
1.145	0.658464647312018	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698	64	GSM736632,GSM736528
3.548	2.30381257332335	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1679013,rs1800682,rs4368253,rs674313,rs6858698	65	GSM736549,GSM736557
3.542	2.31928891629855	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs17483466,rs1800682,rs4368253,rs674313,rs6858698	66	GSM736527,GSM736548
1.646	0.956123369250334	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs4368253,rs6858698	67	GSM736630,GSM736623
2.800	1.74347742979824	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs11083846,rs13401811,rs1800682,rs210142,rs4368253,rs6858698,rs7176508	68	GSM816647
2.732	1.62797843082416	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs2236256,rs674313,rs6858698	69	GSM736543,GSM736539
3.463	2.22345404229537	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs4368253,rs4406737,rs674313,rs6858698	70	GSM736608,GSM736617
2.584	1.58157346427796	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698	71	Lookup
3.195	2.08801747746997	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs13401811,rs1439287,rs210142,rs4987852,rs674313,rs6858698	72	Lookup
1.203	0.699437056810558	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13401811,rs674313,rs6858698	73	GSM816629
0.160	0.263288266708941	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs6858698	74	GSM736547,GSM736515
-0.813	0.0524048209218041	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig	rs6858698	75	GSM736495,GSM736636
0.871	0.549784627969854	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs1800682,rs4368253,rs6858698,rs7176508	76	GSM816628
1.307	0.796265080942075	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698,rs735665	77	GSM736602,GSM736572
1.252	0.753535773157951	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs674313,rs6858698	78	GSM736524,GSM736605
1.610	0.90984872748883	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698	79	GSM736531,GSM736619
1.272	0.735254398378554	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	80	GSM736579,GSM736576
2.464	1.49826078842597	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs1800682,rs4368253,rs4406737,rs6858698	81	GSM736494,GSM736601
1.102	0.647027773741758	HCF	Heart	HCF-DS12501.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4406737,rs6858698	82	GSM736568,GSM736540
1.755	0.998393221380458	HCM	Heart	HCM-DS12599.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs4406737,rs6858698	83	GSM736516,GSM736504
2.210	1.2025351209777	iPS	IPS	wgEncodeOpenChromDnaseIpsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs210142,rs2511714,rs6858698,rs7176508,rs735665,rs7944004	84	GSM816642
2.379	1.48041634656718	HRGEC	Kidney	HRGEC-DS13716.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs674313,rs6858698,rs735665	85	GSM736499,GSM736618
1.424	0.795089698255928	8988T	Liver	wgEncodeOpenChromDnase8988tAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs1800682,rs3769825,rs4368253,rs674313,rs6858698	86	GSM816667
0.503	0.396171042120043	Hepatocytes	Liver	wgEncodeOpenChromDnaseHepatocytesAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs1800682,rs2236256,rs6858698	87	GSM816663
3.411	2.19505992032557	HepG2	Liver	HepG2-all.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs13397985,rs13401811,rs210142,rs2236256,rs2511714,rs674313,rs6858698	88	GSM816662,GSM736637,GSM736639
1.806	1.06348799972909	Huh-7.5	Liver	wgEncodeOpenChromDnaseHuh75AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1044873,rs11083846,rs2511714,rs3769825,rs6858698,rs735665	89	GSM816671
0.156	0.274485707227912	Huh-7	Liver	wgEncodeOpenChromDnaseHuh7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs210142,rs6858698	90	GSM816641
2.253	1.29552181917579	Stellate	Liver	wgEncodeOpenChromDnaseStellateAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs17483466,rs1800682,rs210142,rs4368253,rs6858698	91	GSM816672
2.189	1.25712817733003	AG04450	Lung	AG04450-DS12270.twopass.merge150.wgt10.zgt2.wig	rs1679013,rs1800682,rs4368253,rs6858698	92	GSM736514,GSM736563
1.276	0.726933210696242	HPF	Lung	HPF-DS13390.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4987852,rs6858698	93	GSM736574,GSM736503
1.018	0.626815066527184	NHLF	Lung	NHLF-DS12829.twopass.merge150.wgt10.zgt2.wig	rs1800682,rs4368253,rs6858698	94	GSM736612,GSM736536
1.164	0.665678000401201	E_myoblast	Muscle	E_myoblast_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11083846,rs1800682,rs2511714,rs6858698	95	Lookup
