Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.901	0.436153479775112	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4143832	1	GSM816644
-1.041	4.3429403569492e-11	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		2	Lookup
0.754	0.3877354885512	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4143832	3	Lookup
0.763	0.382223897916828	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs4143832	4	Lookup
0.747	0.373495285727862	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs4143832	5	Lookup
-0.813	4.82163733276643e-17	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
2.889	1.32268995709404	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3184504,rs4143832	7	GSM736607
1.249	0.534230399375613	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs4143832	8	GSM736558,GSM736635
2.738	1.27878020530134	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3184504,rs4143832	9	GSM736525
1.015	0.471946685868357	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4143832	10	GSM736512,GSM736561
1.740	0.823208348639973	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs3184504	11	GSM816665,GSM736496,GSM736620
0.368	0.261735429900089	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4143832	12	GSM816656
-1.081	0	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
0.941	0.437804209780704	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4143832	14	GSM816653
0.392	0.270753750865499	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4143832	15	GSM816658
0.638	0.337086752976959	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4143832	16	GSM816659
-0.998	0	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.780	0.398371617660131	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3184504	18	GSM736626,GSM736595
2.679	1.27473242537661	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs4143832	19	GSM736501,GSM736492
1.737	0.846453749538714	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs4143832	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.528	1.20548786077334	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs4143832	21	GSM736604,GSM736529
1.881	0.879609520293863	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs3184504	22	GSM736592,GSM1024760
3.002	1.38327699723449	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs12619285,rs4143832	23	GSM736502,GSM1024792
-0.570	4.34294517858653e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.605	0	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
1.010	0.474738276083869	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs12619285	26	GSM736509,GSM736554
0.854	0.42013467753752	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs3184504	27	GSM1024745,GSM1024747
1.109	0.504119951761717	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs3184504	28	GSM736609,GSM736523
0.877	0.431255708506388	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs3184504	29	GSM736571,GSM736521
1.312	0.569902904239722	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs3184504	30	GSM736599,GSM736591
