Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.238	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9349205,rs2413450	1	GSM816644
1.015	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9859260,rs12718597,rs9349205,rs4466998,rs2413450	2	Lookup
0.691	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12718597,rs1800562,rs5987027	3	Lookup
1.379	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs855791,rs9859260,rs12718597,rs1800562	4	Lookup
0.487	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs9859260,rs12718597,rs9349205	5	Lookup
-0.923	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12718597	6	GSM816664
4.532	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs131794,rs3218097,rs9859260,rs643381,rs12718597,rs9349205,rs5987027	7	GSM736607
-0.393	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1800562	8	GSM736558,GSM736635
-0.503	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4895441	9	GSM736525
-1.313	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.665	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs9859260,rs9349205	11	GSM816665,GSM736496,GSM736620
-2.049	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-0.460	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs855791,rs9859260,rs12718597	13	GSM816657
-0.872	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2413450	14	GSM816653
1.331	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4895441,rs12718597,rs9349205,rs10758658,rs5987027	15	GSM816658
-0.409	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs855791,rs10758658	16	GSM816659
0.056	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs855791,rs12718597,rs9349205	17	GSM816648
