Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.100	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs17025426	1	GSM816644
0.446	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs7705033,rs7547921	2	Lookup
0.824	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs1498095,rs7705033	3	Lookup
0.742	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs17025426	4	Lookup
0.676	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs10089517,rs1498095	5	Lookup
-0.031	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs10992471	6	GSM816664
0.313	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918	7	GSM736607
0.651	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655	8	GSM736558,GSM736635
1.197	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655,rs7705033	9	GSM736525
1.772	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs17025426,rs7705033	10	GSM736512,GSM736561
1.914	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs12562437,rs17025426,rs1567127,rs7705033	11	GSM816665,GSM736496,GSM736620
1.676	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs10992471,rs7547921	12	GSM816656
-0.007	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs17025426,rs1316952	13	GSM816657
0.168	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12316797	14	GSM816653
2.126	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs17025426,rs12316797,rs1316952,rs6577655,rs1048497	15	GSM816658
-0.141	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655	16	GSM816659
1.261	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs12562437,rs17025426,rs6577655	17	GSM816648
0.980	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs7705033	18	GSM736626,GSM736595
-0.749	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs8036080	19	GSM736501,GSM736492
1.735	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs1567127,rs1498095,rs7705033	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.955	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs17025426,rs7705033	21	GSM736604,GSM736529
1.487	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs1567127,rs7705033	22	GSM736592,GSM1024760
0.435	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7705033	23	GSM736502,GSM1024792
0.932	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7433808,rs1498095	24	GSM736583,GSM736505
0.937	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7433808,rs1498095	25	GSM816638
1.311	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7433808,rs1498095,rs7705033	26	GSM736509,GSM736554
1.615	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs13177918,rs1498095,rs7705033	27	GSM1024745,GSM1024747
1.584	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655,rs1498095,rs7705033	28	GSM736609,GSM736523
1.081	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655,rs1498095,rs7705033	29	GSM736571,GSM736521
-0.437	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs8036080	30	GSM736599,GSM736591
1.764	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655,rs1498095,rs7705033	31	GSM736577,GSM736573
0.232	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7705033	32	GSM736611,GSM736624
1.678	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs6577655,rs1498095,rs7705033	33	GSM736542,GSM736511
0.098	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs1498095	34	GSM736507,GSM736627
3.122	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs6577655,rs1498095,rs7705033	35	GSM1024763
1.571	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs7433808,rs1498095,rs7705033	36	GSM736555,GSM736614
2.288	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs6577655,rs1567127,rs1498095,rs7705033	37	GSM816646,GSM736575,GSM736533
0.742	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs12562437,rs17025426,rs7705033,rs7547921	38	Lookup
0.159	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs8036080,rs1498095	39	Lookup
