Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.529	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1033180,rs653178,rs4819388	1	GSM816644
0.464	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13003464,rs1250552,rs1738074,rs2074404,rs12727642	2	Lookup
1.586	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs13098911,rs1738074,rs1033180,rs12928822,rs864537	3	Lookup
2.770	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2298428,rs1738074,rs12928822,rs10806425,rs864537,rs4819388,rs10936599	4	Lookup
4.074	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs13015714,rs2298428,rs13098911,rs1738074,rs1893217,rs13314993,rs12928822,rs10806425,rs864537,rs17035378	5	Lookup
0.840	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1738074,rs12928822,rs10806425,rs864537	6	GSM816664
1.755	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2298428,rs1738074,rs12928822,rs864537,rs17035378	7	GSM736607
2.317	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs6806528,rs2298428,rs1738074,rs12928822,rs17035378	8	GSM736558,GSM736635
2.686	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs6806528,rs1738074,rs13314993,rs653178,rs12928822,rs17035378	9	GSM736525
4.901	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11712165,rs2298428,rs1738074,rs3748816,rs13314993,rs653178,rs12928822,rs864537,rs17035378	10	GSM736512,GSM736561
2.298	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11712165,rs2298428,rs1250552,rs1738074,rs13314993,rs12928822,rs4819388,rs17035378	11	GSM816665,GSM736496,GSM736620
0.138	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1250552,rs3748816,rs12928822,rs864537	12	GSM816656
1.750	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1250552,rs1738074,rs3748816,rs13314993,rs12928822,rs864537,rs11221332	13	GSM816657
1.775	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1738074,rs13314993,rs12928822,rs1464510,rs17035378	14	GSM816653
0.837	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1738074,rs12928822,rs2074404,rs12727642,rs864537	15	GSM816658
